bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
-0.896042,0.780732,-1.426752,-0.568475
-0.822788,0.119584,-1.069474,-0.506286
-0.676280,0.424729,-0.426373,-1.190361
-1.335566,1.085877,-0.569284,-0.941606
-0.859415,1.747026,-0.783651,-0.692852
-0.932669,0.323014,-1.426752,-0.723946
-0.877728,1.238450,-0.426373,0.582014
-0.529772,0.221299,-1.355296,-1.252549
-0.987609,2.052171,-0.712196,-0.506286
-1.720150,2.001313,-0.212006,0.239977
-1.353880,0.323014,-1.140929,-0.630663
-0.969296,0.933305,-0.426373,-0.941606
-0.273383,1.797883,-0.283462,0.364354
-1.756777,0.628159,-1.212385,-1.097078
0.367590,2.204743,-0.497829,-0.008777
-1.134117,0.577302,-1.926941,-1.003795
-1.152431,0.780732,-1.498207,-0.755041
-1.482074,1.035020,-0.855107,-0.506286
-1.060863,0.475587,-1.140929,-0.319720
-0.950982,0.017869,-1.498207,-0.506286
-1.591955,0.882447,-0.998018,-0.506286
-0.621339,0.729875,-1.283840,-0.817229
-0.639653,0.373872,-0.998018,-1.252549
-1.115804,0.729875,-2.069852,-1.314738
-0.639653,0.882447,-1.498207,-0.319720
-0.822788,-0.236419,-1.641118,-1.190361
-1.243998,0.475587,-1.641118,-0.381909
-0.822788,0.323014,-0.926562,-1.128172
-0.566399,0.882447,-1.212385,-0.381909
-1.390507,-0.083846,-0.426373,-1.097078
-0.877728,2.001313,-0.354918,-0.070966
-0.950982,1.441880,-0.783651,-0.319720
-0.328323,0.679017,-1.498207,-0.817229
-1.170744,1.085877,-1.426752,-1.128172
-0.767847,0.984162,-1.212385,0.550920
-1.372193,0.424729,-1.355296,-1.314738
-0.584712,0.628159,-0.426373,-0.381909
-1.463761,0.679017,-1.069474,-1.376927
0.019633,1.289308,-0.354918,0.239977
-1.280626,-0.134704,-1.140929,-1.501304
-0.804474,0.831590,-0.783651,0.488731
-0.529772,0.933305,-1.355296,-0.972701
-1.463761,0.373872,-0.783651,-0.941606
-0.310010,2.052171,-0.712196,-0.070966
-0.804474,0.272157,-1.069474,-0.879418
-0.712907,0.882447,-0.926562,0.115600
-1.646896,0.373872,-0.783651,-0.941606
-0.364950,1.187592,-0.069095,-0.195343
-1.738463,0.475587,-0.998018,-1.625681
-0.474831,0.729875,-0.712196,-0.630663
-0.914355,0.170442,-1.069474,-0.817229
-0.621339,0.831590,-0.569284,-0.506286
-1.372193,-0.287276,-1.426752,-1.687870
-1.170744,0.984162,-0.497829,-0.568475
-1.518701,-0.134704,-1.140929,-1.314738
-0.493145,2.001313,-0.426373,0.239977
-1.170744,-0.083846,-1.140929,-0.755041
-0.529772,0.526444,-0.640740,-0.195343
-1.390507,-0.032989,-1.212385,-1.687870
-0.438204,0.424729,-0.640740,-0.319720
-1.555328,-0.490707,-0.426373,-1.065984
-0.529772,0.984162,-0.926562,-0.133155
-1.482074,-0.287276,-0.783651,-1.439115
-0.401577,1.136735,-0.212006,0.302166
-1.921598,0.933305,-0.783651,-0.755041
-0.786161,0.628159,-0.783651,-0.381909
-0.804474,0.017869,-0.354918,-0.817229
0.330963,0.882447,-0.283462,-0.070966
-1.555328,0.170442,-0.783651,-0.630663
-0.218442,0.679017,-0.426373,0.053411
-0.566399,-0.185561,-0.712196,-0.630663
-1.243998,1.136735,-1.212385,-0.381909
-1.427134,-0.541564,-0.998018,-0.817229
-0.346637,0.984162,-0.426373,-0.257532
-1.720150,0.017869,-0.855107,-1.252549
-0.200129,0.221299,-0.354918,0.613109
-1.335566,0.831590,-0.998018,-0.506286
-1.628582,1.136735,-0.569284,-0.008777
-1.225685,0.323014,-0.712196,-1.065984
-0.493145,1.594453,-0.497829,-0.817229
-1.408820,1.187592,-0.783651,-0.506286
-1.298939,0.729875,-0.855107,-0.879418
-1.042550,1.035020,-0.855107,-0.319720
-0.932669,0.831590,-0.783651,-0.755041
-1.518701,0.424729,0.073816,-0.817229
-0.529772,0.475587,0.288183,0.115600
-1.830031,-0.032989,-1.140929,-1.003795
-0.804474,0.475587,-1.069474,0.302166
-1.427134,0.068726,-0.998018,-1.128172
-0.584712,0.882447,0.502550,0.115600
-1.079177,0.729875,-0.783651,-0.630663
-0.676280,0.679017,-0.354918,0.177788
-1.994852,-0.541564,-1.641118,-1.625681
-0.145188,0.679017,-0.640740,-0.133155
-1.646896,0.373872,-0.640740,-0.599569
-0.548085,1.441880,0.145272,0.644203
-1.152431,-0.592422,-1.283840,-1.408021
-1.134117,1.441880,-0.783651,0.053411
-1.115804,0.729875,-0.569284,-1.594587
-0.786161,0.882447,-1.212385,-0.817229
-0.987609,0.017869,-0.140551,-0.568475
-1.060863,1.441880,-0.783651,-0.381909
-1.079177,-0.083846,-1.426752,-1.283644
-0.145188,0.933305,-0.283462,0.706392
-1.079177,-0.338134,-0.212006,-0.475192
0.294336,1.594453,-0.712196,0.488731
-0.786161,0.272157,-0.569284,-1.252549
-0.328323,1.187592,-0.283462,0.084506
-0.804474,1.797883,-0.712196,-0.381909
-0.236756,0.577302,-0.354918,-0.164249
-0.987609,-0.083846,-0.926562,-1.625681
-1.225685,1.696168,-0.140551,-0.537380
-1.518701,-0.083846,-0.855107,-1.065984
-0.529772,0.729875,-0.855107,-1.097078
-1.427134,0.017869,-0.998018,-1.314738
-1.152431,1.340165,-0.212006,-0.879418
-0.694593,-0.083846,-1.784030,-0.941606
-0.474831,0.679017,0.073816,-0.413003
-1.610269,-0.643279,-1.069474,-1.439115
-0.621339,0.933305,-0.140551,-0.257532
-0.950982,0.221299,-0.712196,-1.159266
-0.456518,0.577302,-0.426373,0.115600
-0.914355,-0.032989,-0.712196,-1.439115
0.019633,0.424729,0.645461,-0.257532
-1.005923,0.373872,-0.783651,-1.097078
-0.163502,1.035020,-0.283462,-0.879418
-1.317253,0.679017,-0.569284,-0.879418
-1.189058,0.679017,-0.140551,0.333260
-1.079177,0.221299,-0.998018,-0.972701
-0.529772,0.170442,-0.783651,-0.381909
-1.537015,0.170442,-0.712196,-1.283644
-0.694593,1.492738,-0.069095,-0.288626
-1.280626,-0.338134,-1.140929,-1.003795
-0.786161,0.373872,-0.569284,0.053411
-0.694593,-0.032989,-0.569284,-1.003795
-0.621339,0.017869,-0.998018,-0.910512
-2.177987,-0.846709,-0.926562,-1.439115
-0.603026,-0.083846,-0.783651,-0.599569
-1.225685,-0.185561,-0.640740,-1.501304
-0.914355,0.780732,-1.140929,-0.692852
-0.877728,0.729875,-0.783651,0.053411
-1.353880,0.628159,-1.212385,-0.910512
-1.463761,0.323014,-0.426373,-0.941606
-1.134117,0.475587,-0.569284,-0.568475
-1.463761,-0.032989,-0.998018,-0.630663
-0.456518,0.679017,0.002360,-0.257532
0.459158,0.373872,-0.640740,-0.879418
1.100130,1.187592,-0.354918,-0.381909
1.338206,1.035020,-0.569284,-0.692852
0.257709,0.780732,-0.926562,-0.848323
1.594595,1.340165,-0.283462,-0.599569
0.221082,0.323014,-0.212006,-0.319720
0.385904,0.526444,-1.641118,-1.190361
1.338206,0.526444,-0.283462,-0.568475
0.367590,0.882447,-0.426373,-0.070966
1.338206,1.391023,-0.212006,-0.630663
0.477471,0.323014,-0.569284,-0.506286
1.411460,1.594453,-0.497829,-0.537380
0.550725,0.068726,-1.140929,-0.630663
1.466400,0.475587,0.002360,-0.195343
0.349277,-0.032989,-0.783651,-0.786135
1.191698,1.238450,0.002360,-0.195343
1.155071,1.441880,-0.283462,-1.128172
2.565211,0.323014,-1.426752,-0.630663
0.440844,0.729875,-0.783651,-0.941606
0.953622,0.526444,-0.426373,0.239977
-0.291696,0.068726,-1.426752,-0.755041
0.825428,0.170442,-0.712196,-1.003795
-0.145188,-0.287276,-0.998018,-1.625681
1.210011,1.136735,-0.569284,-0.506286
0.495785,0.373872,-0.426373,-1.128172
1.466400,0.933305,-0.283462,-0.070966
1.191698,0.628159,-0.069095,-1.003795
1.008563,0.933305,-0.069095,-0.506286
0.440844,0.323014,-0.712196,-0.630663
1.612908,1.441880,0.288183,0.426543
-0.566399,-0.287276,-0.998018,-1.252549
1.869297,1.848741,0.002360,0.115600
-0.273383,-0.236419,-0.998018,-1.065984
1.283265,0.831590,0.145272,-0.133155
1.045190,0.729875,-0.426373,-0.755041
0.642293,-0.185561,-0.140551,-0.381909
0.660606,0.577302,-0.426373,-0.444098
1.466400,1.797883,0.645461,0.737486
0.532412,-0.287276,-0.640740,-1.874435
1.741103,1.391023,0.288183,0.364354
0.916995,1.187592,0.645461,-0.319720
0.404217,0.170442,-0.998018,-0.692852
1.264952,0.984162,-0.354918,-0.817229
0.276022,-0.083846,-0.354918,-0.879418
1.264952,0.373872,-0.354918,-0.661758
1.246638,0.679017,0.002360,0.302166
1.118444,0.373872,-0.783651,-1.003795
0.916995,1.238450,0.788372,0.115600
1.374833,0.780732,-0.998018,-1.190361
1.063503,0.068726,-0.212006,-0.661758
0.752174,-0.388992,-0.140551,-1.097078
1.356519,0.933305,0.002360,-0.319720
0.312649,0.068726,-0.569284,-0.755041
1.228325,1.289308,0.145272,-0.195343
-0.273383,0.068726,-0.998018,-1.065984
1.503027,0.831590,-0.283462,-0.941606
0.221082,-0.287276,-0.712196,-1.190361
0.971936,1.391023,0.145272,-0.195343
1.136757,0.831590,0.073816,-0.506286
0.294336,1.136735,-0.497829,-0.848323
1.448087,1.187592,0.359638,-0.319720
0.514098,-0.338134,-0.855107,-0.692852
0.312649,-0.083846,-0.426373,-0.692852
2.162314,1.340165,0.431094,-0.257532
-0.090248,0.475587,0.073816,-1.003795
1.026876,0.526444,-0.569284,-0.537380
1.246638,0.933305,0.645461,-0.133155
1.136757,0.780732,-0.212006,-0.537380
0.385904,-2.016433,0.716916,0.364354
1.100130,-0.439849,2.074573,1.856881
0.862055,-1.558715,0.645461,0.302166
1.100130,-0.999282,1.217106,1.856881
0.660606,-1.355285,1.002739,1.483749
0.459158,-1.863860,0.645461,0.426543
0.257709,-1.304427,0.716916,0.737486
0.495785,-0.948425,1.288561,1.234995
-0.126875,-1.914718,0.574005,0.239977
0.514098,-0.897567,1.002739,1.172806
-0.566399,-1.762145,0.931283,0.550920
0.916995,-0.541564,1.074194,1.670315
0.276022,-1.762145,0.931283,0.550920
0.807114,-1.304427,0.859828,2.043446
0.330963,-1.304427,0.645461,-0.008777
0.971936,-0.744994,1.145650,2.043446
-0.364950,-1.863860,0.645461,-0.070966
0.953622,-0.999282,1.431472,2.603144
0.404217,-1.355285,0.574005,0.737486
0.862055,-1.050140,1.502928,1.421560
1.136757,-1.457000,1.217106,1.856881
0.202768,-1.355285,1.002739,0.986240
0.459158,-1.355285,0.859828,0.239977
0.422531,-0.694137,1.002739,1.048429
-0.200129,-2.067291,1.002739,0.986240
0.385904,-1.050140,1.002739,1.110617
0.697233,-1.100997,1.002739,1.794692
0.770487,-1.457000,0.645461,0.488731
1.100130,-0.948425,1.360017,1.670315
0.605666,-0.948425,1.502928,1.297183
-0.218442,-1.507858,0.574005,0.613109
0.202768,-1.355285,0.431094,1.048429
2.858227,-0.083846,2.074573,2.292201
0.935309,-1.202712,1.360017,1.172806
0.807114,-0.439849,1.360017,1.483749
-0.255069,-1.762145,0.859828,0.924052
0.074574,0.068726,1.288561,1.297183
0.001320,-1.813003,0.502550,0.177788
0.862055,-0.744994,0.502550,1.421560
-0.236756,-1.762145,0.502550,-0.319720
1.026876,-0.592422,1.717295,1.856881
0.239395,-1.762145,0.645461,0.115600
1.026876,-1.100997,1.074194,0.675297
1.191698,-0.643279,1.502928,1.670315
-0.071934,-1.660430,1.145650,0.861863
0.276022,-1.660430,0.645461,-0.008777
1.191698,-0.643279,1.717295,1.483749
0.166141,-1.965576,0.859828,1.110617
0.221082,-0.694137,1.002739,1.359372
0.477471,-1.507858,0.645461,0.799674
0.825428,-1.558715,1.360017,1.359372
0.202768,-1.406143,0.645461,0.239977
1.118444,-1.100997,1.717295,0.986240
0.459158,-1.406143,1.145650,0.861863
0.184455,-0.897567,1.360017,1.048429
-0.035307,-1.660430,0.502550,0.115600
0.276022,-1.100997,1.360017,0.986240
-0.145188,-1.355285,0.502550,0.302166
1.173384,-0.948425,1.645839,1.670315
0.239395,-1.711288,0.502550,-0.008777
0.404217,-1.151855,1.431472,1.359372
0.312649,-1.660430,0.931283,0.239977
1.887611,-0.744994,2.146028,1.794692
0.330963,-1.507858,1.288561,0.613109
1.063503,-0.185561,2.074573,1.856881
1.008563,-0.490707,2.003117,1.981258
-0.090248,-1.507858,1.360017,0.613109
1.228325,-1.100997,1.574384,1.670315
0.678920,-1.100997,1.074194,0.675297
0.440844,-0.795852,1.431472,0.986240
0.770487,-0.795852,1.431472,1.110617
0.459158,-1.202712,1.145650,1.234995
0.440844,-1.100997,1.074194,0.613109
0.843741,-0.592422,2.074573,1.981258
0.642293,-1.507858,0.574005,0.488731
1.301579,-0.439849,1.360017,2.230012
0.221082,-1.711288,1.002739,0.675297
0.221082,-0.388992,1.574384,2.167824
0.935309,-1.355285,0.788372,0.519826
1.557968,-0.795852,1.431472,1.545938
0.623979,-1.304427,0.788372,0.644203
1.100130,-0.643279,1.645839,1.421560
0.166141,-1.711288,0.788372,0.675297
1.246638,0.068726,1.931662,1.732503
-0.108561,-1.406143,1.217106,0.488731
1.338206,-1.507858,1.217106,1.359372
0.642293,-1.609573,0.788372,0.830769
1.484714,-0.083846,2.074573,1.670315
0.642293,-1.100997,1.217106,0.924052
1.503027,-0.032989,1.931662,1.483749
0.276022,-1.355285,0.788372,0.675297
1.008563,-0.541564,1.645839,1.794692
0.092887,-1.253570,0.931283,0.799674
1.246638,-0.744994,1.788750,1.234995
0.990249,-0.694137,1.074194,0.892957
0.532412,-1.304427,1.502928,0.830769
0.807114,-1.406143,0.145272,0.519826
1.301579,-0.338134,1.717295,1.297183
0.825428,-1.100997,1.288561,0.799674
2.180627,-0.083846,1.931662,1.732503
0.587352,-0.846709,1.002739,0.955146
0.935309,-1.100997,1.931662,1.608126
0.514098,-0.541564,1.002739,1.608126
-0.419891,-1.253570,0.645461,0.613109
1.722789,-0.694137,1.288561,1.608126
-0.126875,-1.609573,0.502550,0.457637
0.752174,-1.050140,0.574005,1.608126
1.191698,-0.999282,1.074194,0.986240
1.063503,-0.643279,2.003117,2.167824
-0.090248,-0.999282,0.859828,0.550920
1.374833,-0.439849,2.074573,1.608126
0.404217,-1.558715,1.145650,0.208883
2.034119,-0.592422,2.074573,2.043446
0.880368,-0.490707,1.502928,2.230012
0.587352,-1.762145,0.931283,0.892957
0.514098,-1.457000,1.002739,0.799674
1.173384,-0.744994,1.502928,1.919069
0.221082,-1.202712,0.788372,1.234995
1.081817,-0.541564,0.859828,1.483749
